ProductKey,ProductSubcategoryKey,Category,SubCategory,EnglishProductName,Color,Size,ProductLine,ModelName,EnglishDescription,StartDate,EndDate,Product_Status
1,NULL,NULL,NULL,Adjustable Race,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
2,NULL,NULL,NULL,Bearing Ball,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
3,NULL,NULL,NULL,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
4,NULL,NULL,NULL,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
5,NULL,NULL,NULL,Blade,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
6,NULL,NULL,NULL,LL Crankarm,Black,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
7,NULL,NULL,NULL,ML Crankarm,Black,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
8,NULL,NULL,NULL,HL Crankarm,Black,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
9,NULL,NULL,NULL,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
10,NULL,NULL,NULL,Chainring Nut,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
11,NULL,NULL,NULL,Chainring,Black,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
12,NULL,NULL,NULL,Crown Race,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
13,NULL,NULL,NULL,Chain Stays,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
14,NULL,NULL,NULL,Decal 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
15,NULL,NULL,NULL,Decal 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
16,NULL,NULL,NULL,Down Tube,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
17,NULL,NULL,NULL,Mountain End Caps,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
18,NULL,NULL,NULL,Road End Caps,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
19,NULL,NULL,NULL,Touring End Caps,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
20,NULL,NULL,NULL,Fork End,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
21,NULL,NULL,NULL,Freewheel,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
22,NULL,NULL,NULL,Flat Washer 1,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
23,NULL,NULL,NULL,Flat Washer 6,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
24,NULL,NULL,NULL,Flat Washer 2,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
25,NULL,NULL,NULL,Flat Washer 9,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
26,NULL,NULL,NULL,Flat Washer 4,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
27,NULL,NULL,NULL,Flat Washer 3,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
28,NULL,NULL,NULL,Flat Washer 8,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
29,NULL,NULL,NULL,Flat Washer 5,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
30,NULL,NULL,NULL,Flat Washer 7,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
31,NULL,NULL,NULL,Fork Crown,NA,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
32,NULL,NULL,NULL,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,2011-07-01 00:00:00.000,NULL,Current
